image,idx,x,y,r_disk,radial_mm,otsu_mean,otsu_med,otsu_p75,otsu_p90,ws_mean,ws_med,ws_p75,ws_p90,ws_effect,contrast_sigma,stat_mean,stat_med,stat_p75,stat_p90,gm_mm,gm_bio_mm,gm_w,gm_r2,fusion_source,radial_pre_mm,gt_halo,gt_num
gt_04.jpg,1,1130.0,1028.0,42.0,15.24,14.66,14.83,15.11,15.24,0.0,0.0,0.0,0.0,-0.44,-6.45,13.47,13.47,13.47,13.47,14.59,14.0,1.45,0.9,otsu,15.17,15.0,3
gt_04.jpg,2,476.0,1125.0,43.0,35.09,16.03,10.75,18.3,35.09,0.0,0.0,0.0,0.0,-0.08,-6.55,9.34,9.34,9.34,9.34,0.0,0.0,0.0,0.24,otsu,11.13,32.0,8
gt_04.jpg,3,309.0,1367.0,44.0,11.64,9.33,10.07,10.86,11.64,0.0,0.0,0.0,0.0,-0.08,-7.53,9.57,9.57,9.57,9.57,9.88,6.09,13.45,0.77,otsu,18.93,,7
gt_04.jpg,4,477.0,849.0,42.0,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,-3.12,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.59,radial,13.47,,9
gt_04.jpg,5,1173.0,1389.0,44.0,10.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-3.57,7.74,7.74,7.74,7.74,0.0,0.0,22.23,0.83,radial,10.65,,4
gt_04.jpg,6,739.0,1195.0,45.0,32.84,15.67,12.5,16.93,32.84,0.0,0.0,0.0,0.0,-0.53,-5.02,8.86,8.86,8.86,8.86,0.0,0.0,0.35,0.23,otsu,13.63,32.0,1
gt_04.jpg,7,873.0,1625.0,43.0,9.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,-3.81,8.47,8.47,8.47,8.47,0.0,0.0,45.15,0.57,radial,9.69,,5
gt_04.jpg,8,842.0,765.0,41.0,32.01,19.59,17.25,27.56,32.01,0.0,0.0,0.0,0.0,-0.5,-3.19,0.0,0.0,0.0,0.0,0.0,0.0,48.43,0.44,otsu,8.89,31.0,2
gt_04.jpg,9,475.0,1562.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,-2.59,0.0,0.0,0.0,0.0,0.0,0.0,73.58,0.46,-,0.0,,6
gt_05.jpg,1,377.0,689.0,44.0,17.63,15.58,15.7,16.28,17.63,0.0,0.0,0.0,0.0,-0.34,-12.65,0.0,0.0,0.0,0.0,0.0,0.0,5.57,0.91,otsu,18.2,16.0,8
gt_05.jpg,2,704.0,1099.0,46.0,25.11,21.11,23.71,24.48,25.11,0.0,0.0,0.0,0.0,-0.43,-7.54,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.82,otsu,23.89,25.0,1
gt_05.jpg,3,725.0,1599.0,49.0,28.21,21.33,26.1,27.22,28.21,0.0,0.0,0.0,0.0,-0.51,-3.39,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.5,otsu,24.69,25.0,5
gt_05.jpg,4,413.0,1381.0,48.0,14.29,14.26,13.87,15.79,16.17,14.29,14.0,15.79,16.29,-1.25,-16.84,13.28,13.28,13.28,13.28,14.63,12.95,4.45,0.54,watershed,18.66,15.0,6
gt_05.jpg,5,1162.0,1081.0,47.0,17.4,13.77,13.22,15.34,17.4,0.0,0.0,0.0,0.0,-0.23,-5.09,0.0,0.0,0.0,0.0,0.0,0.0,2961.0,-0.0,otsu,14.99,31.0,3
gt_05.jpg,6,1071.0,757.0,48.0,20.44,17.7,16.17,17.87,20.44,0.0,0.0,0.0,0.0,-0.58,-12.14,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.92,otsu,20.43,18.0,2
gt_05.jpg,7,230.0,1055.0,47.0,14.83,13.52,14.5,15.02,15.26,14.83,15.02,15.3,15.64,-1.22,-16.48,13.93,13.93,13.93,13.93,14.73,13.95,2.05,0.78,watershed,15.88,15.0,7
gt_05.jpg,8,688.0,604.0,45.0,25.21,12.52,6.05,23.48,25.21,0.0,0.0,0.0,0.0,-0.14,1.96,0.0,0.0,0.0,0.0,0.0,0.0,4.74,0.09,otsu,0.0,23.0,9
gt_05.jpg,9,1108.0,1414.0,48.0,24.34,11.61,6.45,20.14,24.34,0.0,0.0,0.0,0.0,-0.44,-3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.5,otsu,20.54,25.0,4
gt_06.jpg,1,685.0,1052.0,44.0,22.21,21.73,21.76,21.9,22.17,22.21,22.04,22.31,22.86,-1.59,-22.63,25.7,25.7,25.7,25.7,21.99,21.75,0.61,0.71,watershed,0.0,24.0,7
gt_06.jpg,2,1073.0,1323.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-4.77,0.0,0.0,0.0,0.0,0.0,0.0,3.79,0.61,-,0.0,,3
gt_06.jpg,3,410.0,1410.0,44.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,-3.12,0.0,0.0,0.0,0.0,0.0,0.0,140.25,0.75,radial,9.09,,5
gt_06.jpg,4,1149.0,970.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,-10.25,0.0,0.0,0.0,0.0,0.0,0.0,11.06,0.76,-,0.0,,2
gt_06.jpg,5,381.0,713.0,43.0,21.33,10.06,6.17,12.36,21.33,0.0,0.0,0.0,0.0,-0.81,-16.88,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.77,otsu,29.21,23.0,8
gt_06.jpg,6,261.0,1044.0,46.0,17.17,15.35,15.35,16.21,16.72,17.17,17.27,18.22,18.48,-1.83,-21.16,16.46,16.46,16.46,16.46,16.66,14.73,4.77,0.81,watershed,20.61,16.0,6
