image,disk_idx,x,y,r,status,signal,contrast_sigma,r_out,max_allowed,nn,lin_r2,tail_flat,halo_mm,continuity,gt_num,gt_halo,match_dist,label
gt_08.jpg,6,945.0,1438.0,48.0,ok,True,-6.8,192.0,0.0,388.5,0.82,0.307,13.4,0.56,4,23.0,3.3,MM_ERROR
gt_08.jpg,7,1205.0,1135.0,49.0,ok,True,-22.08,313.6,0.0,399.3,0.914,0.145,27.8,0.44,3,20.0,3.1,MM_ERROR
gt_08.jpg,8,242.0,860.0,49.0,ok,True,-16.87,196.0,0.0,331.4,0.784,0.007,18.9,0.75,7,19.0,2.6,OK
gt_08.jpg,9,811.0,513.0,52.0,ok,True,-14.97,208.0,0.0,416.4,0.743,0.48,22.5,0.07,1,20.0,4.1,OK
gt_09.jpg,1,1122.0,986.0,36.0,no_reliable_signal,False,-6.75,292.6,0.0,328.8,0.48,0.374,0.0,0.0,2,,0.7,TN
gt_09.jpg,2,707.0,1115.0,42.0,ok,True,-14.74,430.1,0.0,375.7,0.841,0.11,26.3,0.93,9,25.0,1.4,OK
gt_09.jpg,3,833.0,1532.0,43.0,ok,True,-10.56,172.0,0.0,327.9,0.419,0.482,12.0,0.82,4,,7.7,FP_other
gt_09.jpg,4,481.0,1517.0,43.0,ok,True,-12.19,275.2,0.0,309.2,0.861,0.194,26.4,0.81,5,23.0,1.8,MM_ERROR
gt_09.jpg,5,322.0,971.0,41.0,ok,True,-10.47,164.0,0.0,289.3,0.8,0.281,16.0,0.62,7,,3.7,FP_other
gt_09.jpg,6,309.0,1260.0,41.0,ok,True,-13.29,262.4,0.0,289.3,0.771,1.313,28.7,0.74,6,29.0,1.5,OK
gt_09.jpg,7,869.0,776.0,39.0,ok,True,-9.13,156.0,0.0,294.6,0.742,0.5,18.1,0.47,1,13.0,0.4,MM_ERROR
gt_09.jpg,8,577.0,737.0,39.0,no_reliable_signal,False,-8.77,278.8,0.0,294.6,0.7,0.207,0.0,0.0,8,27.0,2.2,FN_other
gt_09.jpg,9,1114.0,1363.0,41.0,ok,True,-15.53,262.4,0.0,327.9,0.876,0.435,31.3,0.53,3,21.0,2.9,MM_ERROR
gt_10.jpg,1,1201.0,944.0,37.0,ok,True,-3.03,236.8,0.0,277.6,0.8,2.277,23.7,0.43,2,,2.9,FP_neighbour_leak
gt_10.jpg,2,757.0,1023.0,39.0,no_reliable_signal,False,-2.8,639.0,0.0,225.8,0.436,1.545,0.0,0.06,9,,4.3,TN
gt_10.jpg,3,295.0,1102.0,40.0,ok,True,-17.16,160.0,0.0,294.8,0.697,0.198,13.4,0.86,6,13.0,0.4,OK
gt_10.jpg,4,991.0,648.0,41.0,no_reliable_signal,False,-1.61,283.8,0.0,362.9,0.218,6.399,0.0,0.0,1,,0.8,TN
gt_10.jpg,5,374.0,818.0,41.0,ok,True,-5.35,262.4,0.0,294.8,0.904,2.074,31.5,0.46,7,,1.5,FP_neighbour_leak
gt_10.jpg,6,914.0,1476.0,42.0,no_reliable_signal,False,4.83,303.1,0.0,315.4,0.102,14.695,0.0,1.0,4,,0.5,TN
gt_10.jpg,7,557.0,1397.0,42.0,no_reliable_signal,False,3.52,355.4,0.0,365.6,0.057,18.894,0.0,0.93,5,,1.7,TN
gt_10.jpg,8,1165.0,1285.0,41.0,no_reliable_signal,False,2.15,282.8,0.0,270.2,0.001,157.281,0.0,0.96,3,,2.5,TN
gt_10.jpg,9,970.0,1098.0,43.0,no_reliable_signal,False,3.98,545.7,0.0,225.8,0.785,3.027,0.0,0.56,,,226.2,TN
gt_11.jpg,1,741.0,539.0,38.0,no_reliable_signal,False,-22.02,327.5,0.0,310.8,0.647,1.038,0.0,0.0,1,,1.1,TN
gt_11.jpg,2,1181.0,942.0,39.0,no_reliable_signal,False,2.47,347.8,0.0,309.7,0.016,36.813,0.0,1.0,3,10.0,2.3,FN_low_contrast
gt_11.jpg,3,689.0,1392.0,43.0,ok,True,-38.09,172.0,0.0,340.4,0.731,0.045,16.8,0.83,5,10.0,0.5,MM_ERROR
gt_11.jpg,4,694.0,966.0,42.0,no_reliable_signal,False,-42.2,675.4,0.0,396.4,0.878,0.424,0.0,0.0,8,25.0,1.2,FN_other
gt_11.jpg,5,1042.0,1286.0,43.0,ok,True,-27.15,172.0,0.0,368.6,0.606,0.141,14.0,0.79,4,10.0,3.3,MM_ERROR
gt_11.jpg,6,393.0,1224.0,42.0,ok,True,-46.28,168.0,0.0,298.7,0.618,0.128,20.5,0.21,6,11.0,3.0,MM_ERROR
gt_11.jpg,7,289.0,944.0,42.0,ok,True,-59.73,294.2,0.0,298.7,0.88,0.53,30.5,0.51,7,19.0,1.6,MM_ERROR
gt_11.jpg,8,1019.0,678.0,42.0,ok,True,-17.2,168.0,0.0,309.7,0.973,0.703,25.0,0.5,2,18.0,2.2,MM_ERROR
gt_11.jpg,9,401.0,657.0,40.0,ok,True,-5.45,160.0,0.0,308.1,0.622,0.16,23.0,0.53,9,18.0,1.8,MM_ERROR
