organism,agent_class,agent,disk_content_ug,zone_S_ge_mm,zone_R_lt_mm,zone_ATU,mic_S_le,mic_R_gt,pdf_page
Bacillus spp.,QC Tables.,Norfloxacin (screen only),10,21,21,,NA,NA,104
Bacillus spp.,QC Tables.,Vancomycin,5,10,10,A.,2,2,104
Bacillus spp.,,Erythromycin,15,24,24,,0.5,0.5,105
Bacillus spp.,,Clindamycin,2,17,17,,1,1,105
Bacillus spp.,,Linezolid,10,22,22,,2,2,105
Bacillus anthracis,,Benzylpenicillin,1 unit,50,18,,0.001,0.5,106
Bacillus anthracis,,Amoxicillin iv,,Note,Note,,0.1251,0.1251,106
Bacillus anthracis,,Ciprofloxacin,5,50,24,,0.001,0.25,106
Bacillus anthracis,,Levofloxacin,5,50,23,,0.001,0.5,106
Bacillus anthracis,,Vancomycin,5,10,10,,(4)1,(4)1,106
Bacillus anthracis,,Doxycycline,,Note,Note,,0.061,0.061,107
Bacillus anthracis,,Tetracycline,30,26,26,,0.125,0.125,107
Bacillus anthracis,,Linezolid,10,20,20,,2,2,107
Bacillus anthracis,,Rifampicin,5,12,12,,(1)1,(1)1,107
Brucella melitensis,QC Tables.,Ceftriaxone (meningitis),30,30,30,,(2)1,(2)1,108
Brucella melitensis,QC Tables.,Ciprofloxacin,5,50,27,,0.001,1,108
Brucella melitensis,QC Tables.,Levofloxacin,5,50,28,,0.001,1,108
Brucella melitensis,QC Tables.,Gentamicin,10,23,23,,(0.5)1,(0.5)1,108
Brucella melitensis,QC Tables.,Streptomycin,10,15,15,,(1)1,(1)1,108
Brucella melitensis,QC Tables.,Doxycycline,,Note,Note,,0.251,0.251,108
Brucella melitensis,QC Tables.,Tetracycline,30,42,42,,0.5,0.5,108
Brucella melitensis,,Trimethoprim-sulfamethoxazole2,1.25-23.75,29,29,B.,0.125,0.125,109
Burkholderia pseudomallei,,Amoxicillin-clavulanic acid,20-10,50,22,1.,0.0011,81,110
Burkholderia pseudomallei,,Ceftazidime,10,50,18,,0.001,8,110
Burkholderia pseudomallei,,Imipenem,10,29,29,,2,2,110
Burkholderia pseudomallei,,Meropenem,10,24,24,,2,2,110
Burkholderia pseudomallei,,Doxycycline,,Note,Note,A.,0.001,2,110
Burkholderia pseudomallei,,Tetracycline (screen only),30,23,23,,NA,NA,110
Burkholderia pseudomallei,,Trimethoprim-sulfamethoxazole1,1.25-23.75,50,17,,0.001,4,111
Topical agents,,Disk,10,10,5,10,content,,115
Topical agents,,MIC Enterobacterales,2,2,,,,,115
Topical agents,,Zone,17,16,24,,diameter,,115
Topical agents,,MIC P. aeruginosa,8,2,,,,,115
Topical agents,,Zone,15,18,,,diameter,,115
Topical agents,,MIC Acinetobacter spp.,4,4,,,,,115
Topical agents,,Zone,17,17,,,diameter,,115
Topical agents,,MIC S. aureus,2,2,,,,,115
Topical agents,,Zone MIC S. pneumoniae,18,18,,17,diameter,,115
Topical agents,Streptococcus groups MIC,MIC H. influenzae,4,8,,,,,115
